#,Date,Headline / Title
1,"Dec 18, 2025","Stock market today: Nifty50 opens below 25,800; BSE Sensex down around 150 points."
2,"Dec 17, 2025",PM Modi receives ceremonial welcome at Muscat airport as he begins two-day visit.
3,"Dec 18, 2025",'Worst is behind us': IndiGo CEO urges staff to avoid speculation as operations stabilise.
4,"Dec 18, 2025",'Water bomb': China building world's most powerful mega dam in the Himalayas — how it impacts India.
5,"Dec 18, 2025",Parliament Winter Session Live Updates: VB–G RAM G Bill Gets Lok Sabha Nod Amid Fierce Opposition Sloganeering.
6,"Dec 17, 2025",Russia Deploys Tu-22M Bombers Near NATO Territory; War Escalates As Ships Explode In Black Sea.
7,"Dec 18, 2025","Bangalore weather today: Sunny skies, pleasant temperatures, moderate AQI - December 18, 2025."
8,"Dec 18, 2025",SC: Growing trend of judges 'hitting sixes' before retiring (referencing controversial pre-retirement orders).
9,"Dec 17, 2025","2026 polls: Contest between 'pure force' TVK, 'evil force' DMK, says actor Vijay."
10,"Dec 18, 2025","Top stocks to buy today: Stock recommendations for December 18, 2025 - check list."
11,"Dec 17, 2025",Massive fire breaks out in slum area in Kolkata's Newtown.
12,"Dec 18, 2025","Multiple courts, including Bandra and Andheri, received bomb threat emails on Friday, December 18."
13,"Dec 17, 2025",Trump Travel Ban Explodes: US Immigration Crackdown Continues With New Proclamation.
14,"Dec 18, 2025","Taiwan Announces $40 Billion Defence Budget, Includes Plans for Air Defence System."
15,"Dec 17, 2025",Bomb scare: 3 Ahmedabad schools receive threat emails; security tightened.
16,"Dec 18, 2025",Dense fog: Air India issues travel advisory; warns of possible flight disruptions.
17,"Dec 17, 2025","Weather alert for 17 December: IMD issues dense fog, cold wave and snowfall warnings across India."
18,"Dec 18, 2025",IND vs SA 4th T20I Abandoned Due to Fog in Lucknow.
19,"Dec 17, 2025","Bangladesh Leader's Seven Sisters Remark Triggers Diplomatic Row, India Summons Envoy Issues Warning."
20,"Dec 18, 2025",Trend of judges passing many orders before retirement like batter hitting sixes in final over: SC.
